,HMI_214_DL,振动风选_1#振动X,振动风选_1#振动Y,振动风选_1#振动Z,振动风选_2#振动X,振动风选_2#振动Y,振动风选_2#振动Z,振动风选_3#振动X,振动风选_3#振动Y,振动风选_3#振动Z,振动风选_4#振动X,振动风选_4#振动Y,振动风选_4#振动Z,振动风选_5#振动X,振动风选_5#振动Y,振动风选_5#振动Z
0,40.44,-4.767,-5.0834,-5.2173,-4.3999,-5.2932,-5.6224,-8.1397,-9.0277,-11.2032,-3.0942,-3.9333,-2.8012,-6.881,49.8644,-5.4144
1,14.9,-4.8158,,-5.2064,-4.3745,-5.2806,-5.6115,-8.1162,-8.9011,-11.2738,-3.0254,-3.8646,-2.9007,-6.6803,,-5.1666
2,14.9,-4.6295,,,,,,,,,,,,,,
3,14.9,-4.4632,,,,,,,,,,,,,,
4,14.9,-4.4939,,,,,,,,,,,,,,
5,14.9,-4.6368,-5.0618,-5.0672,-4.3203,-5.192,-5.4994,-7.5339,-8.8468,-8.402,-5.6839,-4.1847,-4.2027,-3.9821,44.2202,-5.5536
6,14.9,-4.6241,-5.0654,-5.031,-4.2226,-5.0364,-5.4271,-7.1903,-8.6841,-8.0782,-5.682,-4.172,-4.2498,-4.398,43.1803,-6.3078
7,14.9,-4.8086,-4.9677,-5.2137,-4.3962,-5.2968,-5.6441,-8.1795,-9.0024,-11.357,-2.9983,-3.9043,-2.7071,-5.9226,,-4.7127
8,14.9,-4.644,-5.0292,-5.0726,-4.2895,-5.0997,-5.3909,-7.2898,-8.6298,-7.8034,-5.805,-4.1593,-4.5861,-3.5824,40.3574,-5.9153
9,14.8,-4.7435,-5.0834,-5.1793,-4.3872,,-5.6133,-7.9589,-8.9318,-10.6354,-3.6186,-4.0002,-3.2117,-5.626,50.0,-5.277
10,14.8,-4.6802,,,,,,,,,,,,,,
11,14.8,-4.7832,,,,,,,,,,,,,,
12,14.8,-4.8881,,,,,,,,,,,,,,
13,14.8,-4.9153,,,,,,,,,,,,,,
14,14.8,-4.9044,-5.0979,-5.2896,-4.4668,-5.3764,-5.7218,-8.279,-9.1778,-10.8994,-3.6005,-4.0508,-3.1466,-4.9587,44.8224,-4.4451
15,14.8,-4.7163,-5.0328,-5.0509,-4.2443,-5.239,-5.6278,-7.8196,-9.1199,-8.2446,-5.597,-4.1991,-4.2805,-2.6565,27.4758,-4.3384
16,14.8,-4.7326,-5.0672,-5.1739,-4.3438,-5.163,-5.4072,-7.2771,-8.7419,-7.7166,-5.9895,-4.2678,-4.5192,-3.8338,38.1999,-6.1812
17,14.65,-4.7579,-5.1015,-5.1395,-4.3836,-5.2028,-5.5338,-7.3892,-8.9119,-7.8468,-5.9895,-4.2335,-4.6729,-4.6729,43.2219,-6.3747
18,14.65,-4.9207,-5.163,-5.3095,-4.4668,-5.3782,-5.6911,-8.1488,-9.1217,-10.6119,-3.8519,-4.0942,-3.3039,-4.6964,45.1479,-4.2082
19,14.65,-4.8899,,,,,,,,,,,,,,
20,14.65,-4.8321,,,,,,,,,,,,,,
21,14.65,-4.9207,-5.1594,-5.3095,-4.4668,-5.3746,-5.7236,-8.2898,-9.2248,-10.7819,-3.6891,-4.0635,-3.1159,-4.181,40.5002,-3.6982
22,14.65,-4.908,-5.1341,-5.2914,-4.4487,-5.362,-5.6911,-8.2392,-9.138,-10.809,-3.7217,-4.0888,-3.0435,-4.6585,44.732,-4.1955
23,14.65,-4.899,-5.125,-5.2806,-4.4469,-5.3583,-5.6766,-8.2862,-9.0729,-11.3172,-3.1773,-4.0563,-2.8265,-5.6694,48.7558,-4.6928
24,14.65,-4.8664,-5.0636,-5.2534,-4.4523,-5.3565,-5.7074,-8.2898,-9.1488,-11.3787,-3.067,-3.9803,-2.7777,-5.5555,50.0,-4.1865
25,14.54,-4.8881,,-5.1522,-4.3004,-5.1486,-5.4723,-7.5683,-8.7546,-8.1868,-5.6007,-4.1774,-4.1955,-2.6674,27.5083,-4.2715
26,14.54,-4.682,-5.0111,-5.1703,-4.3691,-5.2697,-5.6206,-7.7654,-9.0385,-9.5214,-4.4903,-4.0653,-3.8284,-6.1667,,-6.6098
27,14.54,-4.8664,,,,,,,,,,,,,,
28,14.54,-4.8194,-5.0979,-5.2137,-4.38,-5.2625,-5.5952,-7.9878,-8.9282,-10.5468,-3.7145,-4.0418,-3.0815,-5.541,45.1823,-4.9171
29,14.54,-4.682,,,,,,,,,,,,,,
30,14.54,-4.7055,-5.0979,-5.2046,-4.4017,-5.2607,-5.5392,-7.7166,-8.8649,-8.9951,-4.9315,-4.1177,-3.8392,-3.8374,46.1028,-4.9587
31,14.54,-4.8122,,,,,,,,,,,,,,
32,14.54,-4.5427,-5.0473,-4.9135,-4.1286,-4.9442,-5.2842,-7.0312,-8.4725,-7.4941,-5.919,-4.2027,-4.3818,-2.5878,27.9207,-4.8682
33,14.56,-4.4197,,,,,,,,,,,,,,
34,14.56,-4.5897,,,,,,,,,,,,,,
35,14.56,-4.6892,-4.9297,-5.0654,-4.2479,-5.1232,-5.4361,-7.7672,-8.628,-9.2754,-4.2914,-3.9821,-3.2569,-4.8248,17.4136,-4.9605
36,14.56,-4.7851,-5.0527,-5.2571,-4.4288,-5.3403,-5.6495,-8.156,-9.0259,-10.8741,-3.4305,-4.0255,-2.9441,-5.3421,,-4.4758
37,14.56,-4.3329,-4.6259,-4.6024,-3.8844,-4.7561,-5.0455,-6.8033,-7.9589,-6.8358,-5.9352,-4.0436,-4.4179,-4.7037,4.5844,-6.6803
38,14.56,-4.8194,-5.0853,-5.2733,-4.4451,-5.3493,-5.6784,-8.2247,-9.1199,-10.9573,-3.3491,-4.0309,-2.9929,-5.4415,,-4.7145
39,14.56,-4.6729,,,,,,,,,,,,,,
40,14.46,-4.2932,,,,,,,,,,,,,,
41,14.46,-4.4125,,,,,,,,,,,,,,
42,14.46,-4.7037,,,,,,,,,,,,,,
43,14.46,-4.6621,,,,,,,,,,,,,,
44,14.46,-4.2588,,,,,,,,,,,,,,
